filename, OK, spaghetti, stringing, unsmooth_surface
stringing_158_jpg.rf.18396c1d56a508411952d165fb357875.jpg,0,0,1,0
stringing_111_jpg.rf.18df0b478a32919a335ff2c95c9f2c42.jpg,0,0,1,0
spaghetti_32_jpg.rf.19ef7bfb0484134b619e0030861c9264.jpg,0,1,0,0
OK_37_jpg.rf.17dd174f9b97c1f4a4a13d3ba567971d.jpg,1,0,0,0
stringing_122_jpg.rf.1b1bef7f4adc5cfbcee2cd541e4957ba.jpg,0,0,1,0
OK2_70_jpg.rf.1a9403ea4fef380ad7f0bb7726623e9e.jpg,1,0,0,0
blobs_67_jpg.rf.1ad27c4005fb2dfaadf40b0e44293a1c.jpg,0,0,0,1
OK_48_jpg.rf.19182c2ef7ecfd465daf5a8442284d59.jpg,1,0,0,0
spaghetti_37_jpg.rf.18a001d43ee69bec43628025ed991e6c.jpg,0,1,0,0
spaghetti_77_jpg.rf.1a875f4b559f53feb3c0d20da8c46f72.jpg,0,1,0,0
stringing_38_jpg.rf.1883d6e779db611ce6b4af496c6964a4.jpg,0,0,1,0
spaghetti_102_jpg.rf.191b839dfad16deccdc5879f50cf086b.jpg,0,1,0,0
OK_102_jpg.rf.1aa6847ea6a28e7a275627db1c182654.jpg,1,0,0,0
stringing_138_jpg.rf.1a9c9c1a79eb117943debcc63809d68d.jpg,0,0,1,0
OK_1_jpg.rf.1821dca57b17c4deda10f1e38b249950.jpg,1,0,0,0
under-exstrosion_29_jpg.rf.192098cbe2ceb773b3b88438f81bf1fa.jpg,0,0,0,1
under-exstrosion_53_jpg.rf.17dbc4170a9e35ecae1b580f7b6beeb3.jpg,0,0,0,1
stringing_55_jpg.rf.1b6dd74d7dd7ee5568a55c60420b078e.jpg,0,0,1,0
stringing_167_jpg.rf.196634ffe9a470ee26e59bab2662c0a4.jpg,0,0,1,0
OK2_54_jpg.rf.1ca7a12a1b309811b6e9b0384627faa7.jpg,1,0,0,0
under-exstrosion_77_jpg.rf.18f6446fb4f430e98a9dba60a03978da.jpg,0,0,0,1
stringing_204_jpg.rf.1bf3fe136ac1c330f0808eb4d61c1827.jpg,0,0,1,0
OK_81_jpg.rf.1b5c3551c3f0811fe1194fbdaab90be0.jpg,1,0,0,0
blobs_80_jpg.rf.1b4d9177b4573dc2386452b503fe9c76.jpg,0,0,0,1
stringing_149_jpg.rf.1c11d49d359633d59b17883c7aba2bca.jpg,0,0,1,0
stringing_109_jpg.rf.18c31af6356694f620457ebfb5aa9a03.jpg,0,0,1,0
OK2_50_jpg.rf.1a3feaba19397ca9df3b8c9b4803076f.jpg,1,0,0,0
under-exstrosion_65_jpg.rf.19175399017012cb2f1844dac4ca2308.jpg,0,0,0,1
blobs_111_jpg.rf.1cab48ac9f97941415ade7535ef3b36c.jpg,0,0,0,1
stringing_81_jpg.rf.1ccdd1c88bae2bc34cab55db01350c96.jpg,0,0,1,0
blobs_141_jpg.rf.1cc2b11130ac2118a678a1913a3e53a0.jpg,0,0,0,1
blobs_158_jpg.rf.1cf6a0d721a06c259245ce372e008306.jpg,0,0,0,1
under-exstrosion_52_jpg.rf.1d3e93313576642889df3ba1a169e629.jpg,0,0,0,1
blobs_161_jpg.rf.1a0d2866186383b7efe4b0ef0579718f.jpg,0,0,0,1
blobs_119_jpg.rf.1d02ca75fa01f46c0ab548dc556a10b0.jpg,0,0,0,1
OK2_29_jpg.rf.1dd983161b0cc76d54d5c7e9e6704a97.jpg,1,0,0,0
OK_33_jpg.rf.1e07fa037a47cf684ff734c59790bcce.jpg,1,0,0,0
under-exstrosion_113_jpg.rf.1d42ab050551774df9f7b9dd1b8d8523.jpg,0,0,0,1
under-exstrosion_73_jpg.rf.1e2c5fc276155bbac841d2979f7796c7.jpg,0,0,0,1
stringing_56_jpg.rf.1e76ead34e5640da5a1e4dc86c99b06e.jpg,0,0,1,0
stringing_17_jpg.rf.1e9e3031136361fbdcb1156dcec4de97.jpg,0,0,1,0
stringing_23_jpg.rf.1f1e72e7c75d33fc2da0ce43778d9790.jpg,0,0,1,0
stringing_18_jpg.rf.1ecc5d78088be7e3ee76ee48ce59018d.jpg,0,0,1,0
spaghetti_92_jpg.rf.1eddfeb0216223248fa02a84d3b5f850.jpg,0,1,0,0
under-exstrosion_118_jpg.rf.1f48af5ecd448c28071f33fe495a3b55.jpg,0,0,0,1
